VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,"12/1/2020, 6:29:27 AM","12/1/2020, 6:33:34 AM",1,1.38,1,N,141,229,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,-
2,"12/1/2020, 5:39:13 AM","12/1/2020, 5:59:56 AM",1,10.75,1,N,264,219,2,32,0.5,0.5,0,0,0.3,33.3,0,-
2,"12/1/2020, 5:53:49 AM","12/1/2020, 6:08:28 AM",1,8.44,1,N,132,121,1,24.5,0.5,0.5,3,0,0.3,28.8,0,-
2,"12/1/2020, 5:44:04 AM","12/1/2020, 5:48:14 AM",1,0.45,1,N,107,107,4,-4.5,-0.5,-0.5,0,0,-0.3,-8.3,-2.5,-
2,"12/1/2020, 5:44:04 AM","12/1/2020, 5:48:14 AM",1,0.45,1,N,107,107,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5,-
2,"12/1/2020, 6:06:33 AM","12/1/2020, 6:11:36 AM",1,2.1,1,N,263,233,1,7.5,0.5,0.5,1,0,0.3,12.3,2.5,-
2,"12/1/2020, 5:57:59 AM","12/1/2020, 6:12:04 AM",1,2.84,1,N,48,151,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5,-
1,"12/1/2020, 6:02:51 AM","12/1/2020, 6:24:47 AM",1,14.2,1,N,132,7,2,39.5,0.5,0.5,0,0,0.3,40.8,0,-
2,"12/1/2020, 6:26:02 AM","12/1/2020, 6:53:42 AM",2,10.1,1,N,132,95,1,31.5,0.5,0.5,6.56,0,0.3,39.36,0,-
2,"12/1/2020, 6:23:01 AM","12/1/2020, 6:37:39 AM",1,6.11,1,N,100,41,1,19.5,0.5,0.5,1,0,0.3,24.3,2.5,-
2,"12/1/2020, 6:19:37 AM","12/1/2020, 6:48:04 AM",1,18.12,2,N,132,41,1,52,0,0.5,9,6.12,0.3,67.92,0,-
1,"12/1/2020, 5:46:46 AM","12/1/2020, 5:53:45 AM",2,1.5,1,N,138,129,1,7,0.5,0.5,1.65,0,0.3,9.95,0,-
1,"12/1/2020, 5:59:24 AM","12/1/2020, 6:18:29 AM",1,11.7,1,Y,138,137,1,32.5,3,0.5,10,6.12,0.3,52.42,2.5,-
2,"12/1/2020, 6:17:19 AM","12/1/2020, 6:19:49 AM",1,0.5,1,N,237,237,1,4,0.5,0.5,1.95,0,0.3,9.75,2.5,-
2,"12/1/2020, 6:08:26 AM","12/1/2020, 6:17:13 AM",1,3.21,1,N,138,7,1,11.5,0.5,0.5,2.56,0,0.3,15.36,0,-
2,"12/1/2020, 6:01:13 AM","12/1/2020, 6:27:54 AM",1,16.15,1,N,132,123,2,44,0.5,0.5,0,0,0.3,45.3,0,-
2,"12/1/2020, 6:13:33 AM","12/1/2020, 6:36:00 AM",1,18.36,1,N,132,112,1,49,0.5,0.5,12.57,0,0.3,62.87,0,-
2,"12/1/2020, 5:26:55 AM","12/1/2020, 5:34:14 AM",1,3.77,1,N,138,7,1,12,0.5,0.5,3.32,0,0.3,16.62,0,-
1,"12/1/2020, 5:38:52 AM","12/1/2020, 5:50:20 AM",1,3.1,1,N,48,48,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5,-
2,"12/1/2020, 6:06:56 AM","12/1/2020, 6:29:38 AM",2,16.76,1,N,132,255,1,45,0.5,0.5,7.87,0,0.3,54.17,0,-
1,"12/1/2020, 5:54:59 AM","12/1/2020, 6:14:39 AM",1,7.8,1,N,237,13,1,24,3,0.5,5.55,0,0.3,33.35,2.5,-
2,"12/1/2020, 5:42:55 AM","12/1/2020, 5:45:26 AM",1,0.71,1,N,48,50,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5,-
2,"12/1/2020, 7:06:40 AM","12/1/2020, 7:15:22 AM",1,2.74,1,N,238,116,2,9.5,0.5,0.5,0,0,0.3,10.8,0,-
2,"12/1/2020, 6:57:47 AM","12/1/2020, 7:20:01 AM",1,11.97,1,N,87,244,1,34.5,0.5,0.5,11.49,0,0.3,49.79,2.5,-
2,"12/1/2020, 6:31:02 AM","12/1/2020, 6:52:00 AM",3,5.62,1,N,107,188,1,20,0.5,0.5,4.76,0,0.3,28.56,2.5,-
2,"12/1/2020, 6:46:41 AM","12/1/2020, 6:50:56 AM",1,1.03,1,N,239,142,1,5.5,0.5,0.5,1,0,0.3,10.3,2.5,-
2,"12/1/2020, 7:22:58 AM","12/1/2020, 7:29:51 AM",3,2.04,1,N,239,43,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,-
2,"12/1/2020, 7:27:05 AM","12/1/2020, 7:32:58 AM",1,3.77,1,N,132,219,2,12,0.5,0.5,0,0,0.3,13.3,0,-
1,"12/1/2020, 6:34:19 AM","12/1/2020, 7:01:59 AM",1,19.1,2,N,132,113,1,52,2.5,0.5,11.05,0,0.3,66.35,2.5,-
1,"12/1/2020, 7:07:33 AM","12/1/2020, 7:15:33 AM",1,1.8,1,N,79,186,1,8,3,0.5,0,0,0.3,11.8,2.5,-
2,"12/1/2020, 6:31:08 AM","12/1/2020, 6:54:43 AM",4,11.48,1,N,132,129,1,34,0.5,0.5,7.06,0,0.3,42.36,0,-
1,"12/1/2020, 7:27:31 AM","12/1/2020, 7:48:14 AM",2,11.7,1,N,138,164,1,32.5,3,0.5,5,6.12,0.3,47.42,2.5,-
2,"12/1/2020, 6:37:25 AM","12/1/2020, 7:01:55 AM",1,21.78,1,N,132,213,1,57,0.5,0.5,5,6.12,0.3,69.42,0,-
1,"12/1/2020, 6:30:00 AM","12/1/2020, 6:34:43 AM",1,1.4,1,N,137,79,1,6,3,0.5,1.47,0,0.3,11.27,2.5,-
2,"12/1/2020, 7:22:56 AM","12/1/2020, 7:34:53 AM",1,6.35,1,N,132,76,1,18.5,0.5,0.5,0,0,0.3,19.8,0,-
2,"12/1/2020, 7:01:06 AM","12/1/2020, 7:10:58 AM",1,1.35,1,N,239,142,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,-
2,"12/1/2020, 6:37:00 AM","12/1/2020, 6:42:00 AM",1,1.39,1,N,237,233,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,-
2,"12/1/2020, 6:45:14 AM","12/1/2020, 7:15:33 AM",1,9.34,1,N,162,134,2,30.5,0.5,0.5,0,0,0.3,34.3,2.5,-
2,"12/1/2020, 6:36:58 AM","12/1/2020, 6:42:21 AM",1,1.33,1,N,236,75,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5,-
2,"12/1/2020, 7:00:56 AM","12/1/2020, 7:18:39 AM",1,6.31,1,N,141,244,1,20.5,0.5,0.5,4.86,0,0.3,29.16,2.5,-
2,"12/1/2020, 6:49:07 AM","12/1/2020, 7:03:19 AM",1,4.55,1,N,186,75,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5,-
2,"12/1/2020, 7:26:12 AM","12/1/2020, 7:31:51 AM",1,1.76,1,N,186,142,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,-
